age,weight,height,gender,activity_level,fitness_goal,bmi,experience_level
35,75.07744611241621,172.00569197230942,Female,Low,Maintenance,25.37604019196155,Advanced
21,63.77068129148798,181.48637349428716,Male,High,Muscle Gain,19.361233010511175,Advanced
42,79.49172799159427,159.84178181021602,Male,Moderate,Weight Loss,31.112958773065262,Beginner
31,104.06039286706593,170.6167984984797,Male,High,Weight Loss,35.74718799162778,Intermediate
26,72.72799382587743,174.28816500330572,Female,Very High,Endurance,23.942296952988247,Beginner
43,73.72330879450504,176.93105607263143,Female,Low,Maintenance,23.550312760597077,Intermediate
19,63.109586506896335,171.76441555277225,Male,High,Endurance,21.390894348594163,Beginner
37,57.25233445802812,166.32972160916677,Female,High,Endurance,20.69443045634883,Advanced
45,82.45503724816368,161.7240977935128,Male,Very High,Weight Loss,31.525916297141112,Beginner
64,57.15874261136699,170.86143883046375,Male,Low,Maintenance,19.57918220747679,Intermediate
24,71.07349355829089,159.27860988014393,Female,Low,Weight Loss,28.015136959559822,Intermediate
61,62.83513829852325,150.0,Female,Very High,Maintenance,27.926728132677,Advanced
25,77.18469738619588,174.36559804157667,Male,Moderate,Weight Loss,25.38689568071469,Intermediate
64,75.00493157930423,179.03934841086195,Male,High,Maintenance,23.398759948990186,Beginner
52,85.56309916386849,150.0,Female,Moderate,Weight Loss,38.02804407283044,Advanced
31,62.349754017178796,159.90269295290062,Male,High,Endurance,24.38502407726176,Intermediate
34,65.95187597059943,176.19154261005198,Female,High,Endurance,21.24501477441957,Intermediate
53,55.31854426326539,190.574954697117,Male,Moderate,Endurance,15.231374361897327,Beginner
57,63.33560109885833,170.2079370767541,Female,Very High,Muscle Gain,21.86191898021452,Beginner
21,75.65950739567279,162.71997058770864,Male,Very High,Weight Loss,28.574707611338958,Advanced
19,81.35482924968028,168.1710355889516,Male,High,Weight Loss,28.76609701478737,Intermediate
23,56.167520137335615,183.74876419148185,Female,Very High,Muscle Gain,16.635520578420554,Beginner
59,83.0440888015849,163.54035820875464,Male,High,Weight Loss,31.049801982130443,Advanced
21,90.33456788207427,162.00807993349747,Male,Very High,Weight Loss,34.417603062946114,Intermediate
46,76.20152354835551,165.17256477817966,Female,High,Endurance,27.93108648519483,Intermediate
35,98.151937188371,160.46671391741287,Male,Very High,Weight Loss,38.11789920591387,Advanced
43,58.39316201344641,171.22670315994796,Male,Low,Maintenance,19.916774378447617,Advanced
61,51.33017945032874,186.2467845846956,Male,Moderate,Weight Loss,14.797733960689696,Beginner
51,43.319196266435824,173.23079273116028,Female,Low,Maintenance,14.435445940134375,Intermediate
27,92.44066467233775,167.4764649787371,Female,Moderate,Weight Loss,32.95759318451833,Intermediate
53,79.81548484531086,167.08188731084456,Female,Moderate,Weight Loss,28.590938514198015,Intermediate
31,69.16622993634317,154.36809191303342,Male,High,Weight Loss,29.025454706964542,Advanced
48,74.19952939479731,178.8310977714716,Male,Moderate,Muscle Gain,23.201446705319974,Beginner
32,53.11766429052435,169.221628029872,Male,Low,Endurance,18.549287475019884,Intermediate
25,106.68627969425239,168.19520086409375,Male,Low,Weight Loss,37.71215682612732,Advanced
31,71.93831772962841,200.0,Female,Very High,Endurance,17.984579432407102,Intermediate
40,71.64092191907339,172.98752908365685,Male,Low,Muscle Gain,23.940409530141956,Beginner
57,80.88649935848038,162.48208949904816,Male,Very High,Weight Loss,30.63832716828504,Intermediate
38,77.2151384760507,165.73642403794457,Male,Moderate,Weight Loss,28.110367686950855,Beginner
33,73.35826036418698,181.48445709196756,Female,Low,Muscle Gain,22.27256067004159,Beginner
62,58.142883168320324,171.13270410537766,Male,Moderate,Muscle Gain,19.853200931123755,Intermediate
35,77.07202535703993,155.61722021682633,Male,Low,Weight Loss,31.825956534974544,Intermediate
64,98.2303674471255,179.19228934575204,Male,Low,Weight Loss,30.591948013441016,Beginner
41,90.18130069232467,163.31855914461005,Male,Very High,Weight Loss,33.81001904106542,Advanced
43,93.89779939959095,188.73297776217547,Male,Moderate,Endurance,26.360875500405466,Beginner
42,62.33176485353222,180.8004806571465,Female,Low,Maintenance,19.06822475227516,Intermediate
62,55.15592769612129,165.52678104341248,Male,High,Muscle Gain,20.130550642882657,Intermediate
58,68.11319619850528,182.81016361735112,Male,Moderate,Endurance,20.381239163644512,Advanced
46,70.83587368433042,170.67855510527403,Male,Moderate,Weight Loss,24.31617943793753,Beginner
32,86.41287277706422,178.5277367512222,Male,Moderate,Endurance,27.1123426609247,Beginner
62,44.613030554277714,174.84732817294474,Male,Very High,Weight Loss,14.592971195130326,Beginner
18,92.9432547919092,161.53643345009127,Male,High,Weight Loss,35.618604251867154,Intermediate
42,67.62988152131516,163.5645016768254,Male,Moderate,Endurance,25.279036496413816,Beginner
24,63.5967839507887,180.2996081758116,Male,Low,Muscle Gain,19.563456470709543,Advanced
26,54.81843437109749,166.6522466789346,Male,Low,Muscle Gain,19.738051695401637,Intermediate
41,45.177149922013456,165.96351536758004,Male,Very High,Maintenance,16.40187805423168,Intermediate
18,82.34755875942872,160.44877420650647,Female,Low,Weight Loss,31.987324912807626,Beginner
61,71.09976950782605,174.23599065593461,Female,Moderate,Muscle Gain,23.42030005674668,Advanced
25,50.65058650388419,190.62524919243145,Female,Low,Muscle Gain,13.938743611181012,Intermediate
41,50.57381841904576,159.32467085745728,Female,Moderate,Maintenance,19.92322708167915,Intermediate
28,64.96322951064808,170.2421945667276,Male,Low,Endurance,22.414713318139167,Beginner
34,95.0353228793409,184.12220555415428,Female,High,Weight Loss,28.033202709404346,Beginner
25,66.10612972954593,169.20358608754285,Female,Very High,Endurance,23.089929407395633,Advanced
52,47.45285570322841,174.52371796249733,Male,Very High,Muscle Gain,15.579497308087495,Beginner
52,66.31385403871083,159.3760647185312,Female,High,Weight Loss,26.107066224169685,Advanced
50,65.90914645378494,174.28307097207647,Female,High,Endurance,21.69877815570783,Intermediate
22,40.0,168.12855734995452,Male,Very High,Muscle Gain,14.150670496919636,Advanced
59,69.18557700223282,179.85729995679864,Male,High,Muscle Gain,21.387470740194107,Advanced
56,66.53598204686983,181.87386051564752,Male,Moderate,Weight Loss,20.114813050345624,Advanced
58,80.44309547220128,195.89563642018615,Female,Low,Weight Loss,20.96231532942021,Intermediate
45,97.73434142418017,175.79633173213577,Female,Very High,Weight Loss,31.624784417746362,Beginner
24,86.89847544321637,173.25796316582168,Male,High,Weight Loss,28.948478872708844,Intermediate
26,65.96666964167754,171.94384301577335,Male,Moderate,Maintenance,22.31265758613122,Beginner
25,53.40211136887494,166.4683370718931,Female,Very High,Muscle Gain,19.270595958582952,Advanced
29,108.60039704874791,173.3848384346169,Male,High,Weight Loss,36.12510989007585,Advanced
51,70.88827651021732,167.0459858986097,Female,Very High,Endurance,25.404013186958494,Advanced
50,70.2089393786942,171.68460976269614,Male,High,Weight Loss,23.819337663247897,Advanced
40,69.63812369334995,183.1759753560796,Male,Very High,Muscle Gain,20.75439297814935,Advanced
41,72.97127141151782,159.93457434720358,Female,Moderate,Weight Loss,28.527728690974524,Beginner
54,67.83459382114086,181.39878561129046,Male,Moderate,Weight Loss,20.614959135801445,Beginner
52,61.39506989679646,183.17115067339864,Male,Low,Weight Loss,18.298662657761664,Advanced
61,61.79711588139412,168.81931473008922,Male,Very High,Maintenance,21.6832282069279,Intermediate
57,69.50870094676003,150.0,Female,Low,Weight Loss,30.892755976337792,Intermediate
39,61.84862843299352,163.92178012905566,Male,Very High,Endurance,23.01742568720983,Advanced
44,59.30731325984253,182.9699454656111,Male,High,Maintenance,17.71530903520785,Beginner
52,71.59645341537845,169.77131937701117,Male,High,Muscle Gain,24.840644647346632,Intermediate
18,66.17534173868717,160.00697767705088,Male,Low,Maintenance,25.847488374685323,Intermediate
52,92.55989482874033,164.95225078771782,Male,Very High,Weight Loss,34.01781074516881,Intermediate
54,40.0,178.40620026504553,Male,Low,Weight Loss,12.567245645469834,Advanced
64,86.37260277883692,175.46733568201378,Female,Moderate,Weight Loss,28.053266888681833,Intermediate
31,88.69127788746444,167.61067900830307,Female,Low,Weight Loss,31.570215139577662,Intermediate
20,40.0,166.33175588185313,Male,Low,Muscle Gain,14.458047491537176,Intermediate
18,64.85968608879477,166.0824185095618,Female,High,Endurance,23.514054557110946,Intermediate
22,64.42838701006313,160.77589815501497,Female,Low,Weight Loss,24.92501164920083,Beginner
43,48.88732457923268,186.15375689469442,Male,Very High,Maintenance,14.107584483590648,Advanced
31,58.33274968613687,166.7767953078866,Female,High,Endurance,20.972065229630235,Advanced
56,53.34136231801257,182.17158520825495,Female,Low,Weight Loss,16.073217749840346,Beginner
44,96.28405665135435,185.21316051922452,Female,Moderate,Weight Loss,28.067950007996664,Beginner
26,84.03517589721191,179.9831089814796,Female,Low,Weight Loss,25.941651132663598,Advanced
32,89.07332642491238,165.68379687281953,Female,Low,Weight Loss,32.44797467375625,Intermediate
32,80.82508096064853,174.0373009033661,Female,Low,Muscle Gain,26.68464746636747,Intermediate
43,53.06422343174156,169.75804393609084,Female,High,Maintenance,18.41370105824144,Advanced
59,62.132196005803394,160.9629813926987,Female,Very High,Weight Loss,23.980856402180205,Intermediate
30,77.34061841841877,173.24359281721604,Male,Moderate,Maintenance,25.768745530941338,Beginner
49,51.66808286662082,158.20960208840197,Male,Low,Muscle Gain,20.642232766366664,Intermediate
56,80.69497645258582,181.87679388461564,Female,Very High,Maintenance,24.39449990928665,Intermediate
49,66.39511902762797,165.35382702701608,Female,Very High,Weight Loss,24.283297025607222,Intermediate
21,64.37768788675604,172.0115965587284,Male,High,Endurance,21.758047538728928,Advanced
47,80.66439952305237,172.83287871546142,Female,Moderate,Maintenance,27.004067066519447,Beginner
54,76.6639496722906,167.41095026295923,Female,High,Weight Loss,27.354165293621072,Intermediate
40,64.5855075127138,175.86693801475275,Male,Very High,Weight Loss,20.881739428376527,Advanced
56,87.38994705046372,165.25096343377476,Male,Very High,Weight Loss,32.00173141224244,Intermediate
62,53.78405008600154,178.71297297457244,Male,Very High,Weight Loss,16.83997116547583,Beginner
32,79.23903410416395,156.54020319753252,Female,High,Weight Loss,32.33608118645464,Intermediate
60,78.89651886952575,171.26379579546412,Female,Moderate,Muscle Gain,26.89841630591154,Beginner
46,65.35680341029014,189.38928999058285,Male,Low,Maintenance,18.221325696125838,Intermediate
53,74.89199533363177,159.99668675394426,Male,High,Weight Loss,29.25589731448442,Beginner
30,51.23329635422046,163.2225502947515,Female,Very High,Endurance,19.2305621944353,Intermediate
49,83.86040528810352,175.13907849658915,Male,High,Muscle Gain,27.339516912296613,Beginner
24,67.22646795335517,171.79581781939598,Female,Very High,Endurance,22.777975412814044,Intermediate
39,62.15915469221441,173.5063009927356,Female,Low,Maintenance,20.647838641615387,Intermediate
45,85.73513838755333,174.89187130147664,Male,Low,Weight Loss,28.02977450512924,Advanced
19,59.43484464185861,176.3472146856177,Male,Moderate,Muscle Gain,19.111902564066156,Advanced
59,48.873080554546604,181.09699841956223,Female,Very High,Muscle Gain,14.902090956935412,Beginner
62,46.65056239714144,174.09818656928513,Male,Moderate,Endurance,15.391054953523996,Intermediate
23,79.0901492701846,167.58742345381458,Male,Moderate,Weight Loss,28.16044719036853,Beginner
45,50.793559712555755,176.7257370120273,Male,Low,Weight Loss,16.263313999122833,Advanced
45,96.32191272976547,188.99881934895217,Male,High,Weight Loss,26.965403027477198,Beginner
61,40.0,168.67366253617428,Female,High,Muscle Gain,14.05935642125038,Beginner
61,95.44684552435058,160.25470695329358,Female,Moderate,Weight Loss,37.165500954028865,Advanced
37,73.16526200803928,181.07080669286972,Female,Low,Endurance,22.315573850040145,Intermediate
47,68.54930332194411,168.79618836046401,Female,Very High,Weight Loss,24.05901120518455,Beginner
28,61.826213697865754,150.0,Male,High,Endurance,27.478317199051446,Advanced
45,75.98704171528107,178.47421677150422,Male,Moderate,Maintenance,23.855502419062486,Intermediate
42,69.43547946362727,164.64671814046076,Female,High,Muscle Gain,25.613874766922624,Advanced
56,86.54952823024783,169.09466717695838,Female,High,Weight Loss,30.269474575211117,Beginner
50,71.71341472993059,173.31980330569016,Male,Very High,Weight Loss,23.87283671154107,Intermediate
18,72.25452642192816,171.90499679779066,Female,Low,Weight Loss,24.450517623990947,Intermediate
44,64.54581681679217,177.0945181713904,Female,Very High,Muscle Gain,20.580592083125573,Advanced
30,69.14581564418398,165.64513629430158,Male,Low,Muscle Gain,25.200463394311047,Advanced
58,74.6170265333809,175.13105798176082,Female,High,Maintenance,24.328290665480704,Advanced
20,44.347474110150614,167.40453322416082,Male,Moderate,Muscle Gain,15.824662642606993,Intermediate
56,49.77721866841431,177.38810480887503,Male,Very High,Maintenance,15.819095171948646,Intermediate
23,81.14896141034072,176.15367484013052,Female,Low,Weight Loss,26.15167741479814,Beginner
25,72.56298157191912,160.64561297955404,Male,High,Weight Loss,28.117543730249633,Intermediate
44,67.24024995470981,180.85982116175032,Female,Low,Weight Loss,20.556308419406204,Beginner
26,70.27650899598089,164.6403655488595,Male,Low,Muscle Gain,25.92612056495171,Advanced
54,75.21372558042506,178.08057798281146,Female,Low,Weight Loss,23.717231251249714,Advanced
50,61.90360479535958,173.6728731340134,Female,High,Weight Loss,20.523525329613115,Intermediate
59,58.32542911896531,188.38183676795123,Female,Moderate,Muscle Gain,16.435385253307036,Advanced
61,72.93767882646523,167.76534017628148,Male,Moderate,Weight Loss,25.914775719720673,Advanced
41,55.32440833577452,166.50683203881803,Male,Moderate,Weight Loss,19.95504273024981,Intermediate
32,76.12379133571707,169.80580394112266,Female,Low,Endurance,26.400694373805035,Beginner
49,44.46124593643239,166.96820217165725,Male,High,Maintenance,15.948288631157808,Intermediate
49,85.43733455988465,177.9994190194205,Female,Low,Muscle Gain,26.965626905242992,Beginner
41,77.08896223619564,153.8368939156341,Female,Moderate,Weight Loss,32.57400765640356,Intermediate
58,73.84044601470814,159.46317580853645,Male,Moderate,Weight Loss,29.038454145820783,Intermediate
29,84.74036475918271,159.32197078420808,Female,High,Weight Loss,33.384047468939976,Advanced
56,94.98211666693865,179.50307591973575,Male,Low,Weight Loss,29.478002658365586,Intermediate
19,85.21555097527195,187.10613372581926,Female,Very High,Endurance,24.341246069802732,Intermediate
20,42.38688653002532,168.9555078146253,Male,Very High,Muscle Gain,14.848644485413258,Beginner
54,50.806345498964475,168.3117827680999,Female,Moderate,Endurance,17.93448528488393,Advanced
34,60.62772133456482,170.7005216311318,Female,High,Endurance,20.80662065864377,Beginner
19,70.3913657531625,181.6187830260819,Male,Low,Maintenance,21.340169718450227,Beginner
19,77.76488530703685,160.72646865809426,Female,Low,Weight Loss,30.102927321071906,Advanced
45,59.11384280269802,172.38368982734784,Female,Moderate,Maintenance,19.892842653321917,Advanced
40,72.80150146715617,179.75197629782429,Male,Moderate,Maintenance,22.531649584960252,Advanced
54,58.66925601470016,175.01094169939844,Female,Low,Endurance,19.15491272815622,Intermediate
49,60.82723295512078,171.89581616598744,Male,Low,Endurance,20.585785728778724,Advanced
50,48.900083547276665,180.01046092567142,Female,Moderate,Maintenance,15.090864278824844,Advanced
18,56.151501308336435,150.0,Male,Low,Weight Loss,24.95622280370508,Advanced
36,49.724730915754996,176.77875319530906,Female,Very High,Endurance,15.911543430921167,Beginner
19,55.36190120534001,163.45924316872575,Female,Moderate,Weight Loss,20.720108653322935,Beginner
61,85.80462694911759,151.69367103143543,Female,Low,Weight Loss,37.28857478816378,Intermediate
43,55.759016667520854,175.1120259952498,Male,Moderate,Endurance,18.183737812521574,Beginner
49,109.48573097256086,183.73658545162957,Male,High,Weight Loss,32.43144055648316,Intermediate
23,77.39976851321333,168.62551485372308,Male,Moderate,Endurance,27.220311099669978,Beginner
49,72.77254185542311,179.52874547202939,Male,Moderate,Endurance,22.57873219048331,Advanced
21,57.1246332972818,186.12278257988646,Female,High,Muscle Gain,16.49014034109273,Beginner
28,80.50464819113488,183.14914453584046,Female,Very High,Endurance,23.99999589937699,Intermediate
34,61.36543260643339,186.39964529371395,Male,Low,Maintenance,17.661746093658945,Beginner
55,71.83014721968043,177.42127491071892,Male,High,Weight Loss,22.818934681885832,Advanced
41,108.40126807403192,170.75433638901592,Male,Moderate,Weight Loss,37.17841572722446,Intermediate
22,68.55910150413025,153.98034188102832,Female,Low,Weight Loss,28.915756456243326,Advanced
51,87.23909989428513,167.53937511870052,Male,High,Weight Loss,31.079741173892586,Advanced
23,59.45235362311169,161.5675340468381,Male,Low,Endurance,22.77512971965525,Intermediate
39,69.47517264254557,191.70942717497815,Female,Low,Endurance,18.903520630408693,Advanced
28,96.56200953453265,168.24114187567665,Female,High,Weight Loss,34.11472545808369,Advanced
33,60.59549413318349,171.23204806784486,Male,Low,Muscle Gain,20.66665687023805,Beginner
50,97.18672836995393,175.51485376040466,Female,Very High,Weight Loss,31.54853590755721,Advanced
26,80.61627903183214,170.43602446372455,Male,High,Endurance,27.752362390227756,Advanced
23,61.56299836158598,186.95051040430752,Female,Very High,Muscle Gain,17.6143431687613,Advanced
33,79.48611608583282,163.77350638265548,Male,Moderate,Weight Loss,29.634935201147314,Advanced
46,84.58831674440094,171.94607455237244,Male,Low,Weight Loss,28.61052662393375,Intermediate
20,79.32714943325794,162.5752941430195,Male,Moderate,Weight Loss,30.0132310538267,Beginner
37,46.446629201643155,156.79977488779295,Male,Moderate,Maintenance,18.891364667997912,Advanced
53,59.09294236262697,163.88230909094716,Female,Low,Muscle Gain,22.002471440754938,Advanced
36,66.28722046672743,169.62963202951588,Female,High,Endurance,23.037023680376564,Intermediate
43,68.8834985634993,165.7069777548274,Female,Low,Weight Loss,25.08612625117332,Advanced
20,79.31008146326018,163.07579020126144,Female,Moderate,Weight Loss,29.822868442687234,Intermediate
36,72.66551501399881,155.93682536328166,Male,Moderate,Weight Loss,29.883466820678915,Beginner
37,49.96983461934848,169.16894427371307,Male,High,Endurance,17.460900359082487,Beginner
49,75.70296776508945,154.95279625969,Female,Low,Weight Loss,31.529281182014643,Advanced
24,79.15878617925735,177.60055963689604,Female,Moderate,Muscle Gain,25.096344435359295,Advanced
58,78.3968567189656,170.82439752934502,Female,Very High,Muscle Gain,26.865742930025874,Advanced
50,86.21171088331933,155.4244850053507,Female,Moderate,Weight Loss,35.688425629368574,Intermediate
57,82.50883231823356,166.90790922950137,Female,Moderate,Weight Loss,29.617377916557505,Advanced
56,76.88770118842655,162.47843594409417,Male,High,Weight Loss,29.12496531557919,Advanced
35,68.94751432812029,173.1917451041918,Male,Very High,Endurance,22.98604418839755,Beginner
57,45.085585997260125,183.40450446023144,Male,Moderate,Muscle Gain,13.403484704298537,Advanced
18,76.44427328698879,151.24827530354256,Female,Moderate,Weight Loss,33.416741128626214,Beginner
28,73.11531530744666,171.15026079147418,Female,Very High,Endurance,24.960496897305706,Advanced
45,74.0736825579306,168.3986720443336,Female,Low,Maintenance,26.120808257103885,Beginner
42,50.84877136269536,176.71340076450466,Female,Low,Weight Loss,16.283265127745764,Advanced
40,53.784151893876064,172.13196628237688,Male,Moderate,Muscle Gain,18.152283480006478,Beginner
48,85.79729279999356,162.4803066826118,Male,Moderate,Weight Loss,32.49915912630296,Intermediate
47,69.40667269215018,166.8094606433338,Female,Low,Maintenance,24.943642237024317,Beginner
59,80.22251046058936,162.0397414319651,Male,High,Weight Loss,30.55295113967833,Beginner
52,70.42477564195691,180.76007138598598,Male,Very High,Weight Loss,21.553632008627137,Beginner
24,70.44634209243618,170.21311648671943,Female,Very High,Endurance,24.314895116519946,Advanced
33,84.07425708963997,189.01190685753008,Female,High,Endurance,23.53340188151583,Advanced
43,62.25932907673939,169.3933918618538,Female,High,Endurance,21.697590467665215,Advanced
19,71.44181165411474,162.91593233089537,Female,High,Endurance,26.916918702309545,Intermediate
18,63.06587066942436,154.86285607387174,Female,High,Endurance,26.296616135755034,Intermediate
29,63.482556588515266,151.96860323744056,Female,High,Endurance,27.488222962090862,Beginner
22,65.3624181479704,154.1586405699451,Male,High,Endurance,27.50377884256145,Intermediate
54,73.3320065745057,172.67126651011483,Male,Very High,Muscle Gain,24.595373368968513,Beginner
49,62.818770675047844,175.08725023229934,Female,High,Weight Loss,20.491813235646468,Beginner
26,88.83634188360281,154.18809297967866,Male,Low,Weight Loss,37.36706544787237,Beginner
58,56.580890466707444,178.95038314076115,Female,High,Muscle Gain,17.668696586328796,Intermediate
52,67.19692533757961,165.16938948316562,Female,High,Endurance,24.631466808355086,Advanced
36,63.40403412588738,171.46793011985548,Female,Very High,Endurance,21.565080342120865,Intermediate
33,91.704668265306,186.12220628255426,Female,Very High,Endurance,26.472506291292476,Beginner
20,72.94832164767362,178.96839315865532,Male,High,Endurance,22.7752224038444,Beginner
37,85.47766809202952,167.3146935209417,Female,Very High,Weight Loss,30.534056244472257,Intermediate
41,47.716594404445416,161.08807774584713,Male,Moderate,Weight Loss,18.38834492938729,Beginner
50,74.00575398803889,150.0,Female,Very High,Weight Loss,32.891446216906175,Beginner
41,83.34446193435156,162.8084668075758,Female,Very High,Weight Loss,31.44291300812434,Intermediate
28,71.23425983913137,167.88869761172305,Female,Very High,Endurance,25.27237143607531,Intermediate
25,85.98220562598027,160.12820472848816,Male,Very High,Weight Loss,33.53303886600709,Intermediate
53,62.24067324849442,168.68743032907696,Female,Low,Maintenance,21.873024361046728,Beginner
55,91.1402116027837,170.7685188295877,Female,Low,Weight Loss,31.25319411947386,Beginner
57,104.48347185428875,167.7514401819192,Female,Low,Weight Loss,37.12915628249784,Advanced
37,64.55742159340511,163.4999741917654,Male,High,Endurance,24.149647700436024,Advanced
52,63.31746217898842,171.68654671966726,Male,High,Weight Loss,21.48082558677982,Intermediate
42,91.80076715676552,174.4194064956941,Male,Moderate,Weight Loss,30.175654722741736,Advanced
52,93.69358218596068,159.09600922557155,Female,Low,Weight Loss,37.01615216820246,Beginner
42,62.15709959270097,184.1093237974627,Male,High,Maintenance,18.33745981598349,Advanced
46,63.69719774356214,169.01411867715737,Female,Very High,Weight Loss,22.298433610465295,Beginner
35,65.7732308670924,170.18849622944848,Male,Very High,Endurance,22.70851702679197,Intermediate
63,49.833242334485846,177.08214423256558,Male,Low,Maintenance,15.891672292364802,Intermediate
35,56.220220802737025,172.332161312635,Female,Moderate,Endurance,18.93040377847059,Beginner
19,54.93788849871898,179.53136633913246,Male,Moderate,Muscle Gain,17.044775731168535,Advanced
52,58.483036523438074,172.87124165201826,Female,Very High,Endurance,19.56971094983124,Intermediate
33,69.47972668919829,163.8756262535956,Female,Moderate,Endurance,25.87196247598958,Intermediate
58,73.5132209880478,173.615035252061,Male,Low,Weight Loss,24.388819870549117,Advanced
53,93.25750739221115,158.56273792679337,Female,Very High,Weight Loss,37.092109302302006,Advanced
50,55.024689388918134,171.08559705776523,Female,High,Endurance,18.79882479099833,Beginner
21,84.76483597714875,169.6677000935554,Male,High,Weight Loss,29.445394704631646,Advanced
50,66.79016733661737,167.9188314272746,Male,Moderate,Muscle Gain,23.687199893443058,Advanced
31,69.2580443552135,168.7146248856107,Female,Very High,Endurance,24.331269147616258,Advanced
38,80.12229238249905,151.1815095450236,Male,Very High,Weight Loss,35.05548754034886,Beginner
37,53.159169676565526,164.51275092259039,Female,High,Endurance,19.64169937793756,Beginner
25,75.73614619276076,170.92844901141115,Female,Very High,Endurance,25.922357671272902,Intermediate
24,72.49678312319584,171.598563919974,Male,Very High,Endurance,24.62019215673073,Beginner
20,77.38676896012224,159.7232485907404,Male,Very High,Weight Loss,30.334053270019094,Intermediate
34,74.33752965861727,182.657078408647,Male,Moderate,Endurance,22.281022186289828,Advanced
50,106.82950209866341,161.33825151785499,Male,Very High,Weight Loss,41.04086562377846,Intermediate
29,60.43390023623026,179.69457200526736,Female,Low,Muscle Gain,18.715899565079972,Intermediate
39,62.035045674972736,174.27194361871685,Female,Moderate,Maintenance,20.425944930333678,Advanced
39,60.65289210362853,163.53772690156197,Male,Very High,Endurance,22.67856653136374,Intermediate
63,61.66784321259618,187.7531089260951,Male,Very High,Maintenance,17.493813227954497,Beginner
47,60.439193090402235,158.0636316824352,Female,Low,Maintenance,24.191051461564246,Beginner
